,PC1,PC2,PC3,Group
sapbud,20.68446034053596,-22.380687241823505,-3.1407483130333245,sapbud
sapbud.1,21.33565215312405,-22.64956861363895,-3.1620658968381465,sapbud
sapbud.2,17.87142901495037,-22.5987694446639,-1.42671838637487,sapbud
sapbud.3,17.705318334458624,-22.04172310741672,-1.4031572243435988,sapbud
infectedTHAI,-1.195864474765768,-4.7773138844902165,-4.853354324576626,infectedTHAI
infectedTHAI.1,-1.9440902401018538,-3.912322157256146,-4.015805708972056,infectedTHAI
infectedTHAI.2,-4.202207351687469,-3.2618334480992774,-6.973130232529021,infectedTHAI
infectedTHAI.3,-4.610122354470768,-2.966875894375535,-6.636559922783501,infectedTHAI
UNinfectedTHAI,-0.6732553219148568,1.6403073163474413,3.989369586382845,UNinfectedTHAI
UNinfectedTHAI.1,-0.4565693706757669,1.4485638001999286,4.54573511979897,UNinfectedTHAI
UNinfectedTHAI.2,-1.6043230266006139,-2.9470963713511464,-4.035982615470452,UNinfectedTHAI
UNinfectedTHAI.3,-2.095766002325873,-2.985057914756886,-4.054125675465444,UNinfectedTHAI
Raffbudlag,26.023256135824013,-24.796496486588115,-2.6210700629924175,Raffbudlag
Raffbudlag.1,26.190977428355627,-24.647801502728004,-2.0143455290331067,Raffbudlag
Raffbudlag.2,15.686822029259524,-13.096459682171403,-2.430572379774141,Raffbudlag
Raffbudlag.3,17.007714941657937,-14.748279812354461,-2.9562482635631184,Raffbudlag
infectedCAM,-9.695650841445845,0.44195764459000475,-5.560924463200817,infectedCAM
infectedCAM.1,-9.833674854485695,0.4121628302405412,-5.3388482939985344,infectedCAM
infectedCAM.2,-9.149422854718734,0.8375290229861201,-4.635312725794644,infectedCAM
infectedCAM.3,-9.305559325589554,1.124448824668164,-4.435624714947428,infectedCAM
UNinfectedCAM,-6.364891713511107,0.08467664718195633,-4.52429020479107,UNinfectedCAM
UNinfectedCAM.1,-6.412696990947069,0.024077815351152696,-4.651625308049519,UNinfectedCAM
UNinfectedCAM.2,-3.051270424459714,-0.3393524202347463,-1.6297165906466151,UNinfectedCAM
UNinfectedCAM.3,-3.529778877145046,-0.27992806811321624,-1.8147090972208937,UNinfectedCAM
NonhostCAM,-2.725319744880012,1.0542181947479639,12.103888639059825,NonhostCAM
NonhostCAM.1,-2.7056709683188096,0.9840061698797632,12.866240786761255,NonhostCAM
NonhostCAM.2,-4.045816123020927,2.058906029226091,18.248036600556766,NonhostCAM
NonhostCAM.3,-3.693710908768747,2.330398674835609,18.19287683800368,NonhostCAM
raffseed,39.16265974918874,54.11686660919361,-8.47899520487919,raffseed
raffseed.1,40.525711924462236,56.19986245262936,-8.122319350243462,raffseed
raffseed.2,27.85187377458865,39.76791062638737,-7.325075595485813,raffseed
raffseed.3,29.19510518650804,42.138958250882254,-7.3224239292464475,raffseed
Raffbudspec,1.1915343156584928,-3.50240391261495,-5.960920232262906,Raffbudspec
Raffbudspec.1,1.2141467934998416,-3.4382483734169753,-5.883874961464618,Raffbudspec
Raffbudspec.2,12.101799635409629,-11.980525169138486,-5.2565418535379465,Raffbudspec
Raffbudspec.3,12.78346303551867,-12.113594120080945,-4.985823687241707,Raffbudspec
Raffbudspec.4,19.738451413096197,-15.414785304282242,-2.2933435436856837,Raffbudspec
Raffbudspec.5,19.664634025499122,-15.637814824084039,-2.186604500595076,Raffbudspec
Raffbudspec.6,16.541339417645453,-14.411093405640516,-2.231717430572624,Raffbudspec
Raffbudspec.7,16.607880753675463,-14.543911217647008,-2.4269636480744383,Raffbudspec
Raffbudspec.8,16.29955796370447,-9.92907943158641,-3.019000480088722,Raffbudspec
Raffbudspec.9,16.478369408044852,-10.105983411730907,-2.650152856207597,Raffbudspec
Raffbudspec.10,5.40040074064451,-4.127785935104184,-3.2439635497498167,Raffbudspec
Raffbudspec.11,5.9612351540465145,-4.4218320071654045,-3.088784639542301,Raffbudspec
Raffbudspec.12,-0.05151767794267814,-2.7917353143291637,-2.8685124570061467,Raffbudspec
Raffbudspec.13,-0.15091032633908572,-2.696870296836486,-2.793548651083234,Raffbudspec
Raffbudspec.14,18.195191233594844,-13.822214195994071,-1.9478266131757656,Raffbudspec
