,PC1,PC2,PC3,Group
sapbud,28.514165802511066,-15.518739124428317,5.970023873456579,BUD
sapbud.1,28.852801759398627,-15.606468874303008,6.218791299155544,BUD
sapbud.2,27.705123651369764,-17.194459657549565,2.222324222564357,BUD
sapbud.3,27.020492322413343,-16.547135249839933,1.8372290742699977,BUD
infectedTHAI,-1.2741846416232119,-4.486746664244811,6.816722967010663,INFECTED
infectedTHAI.1,-2.2950976966448566,-4.049931101624977,6.91392107133738,INFECTED
infectedTHAI.2,-3.568109744143132,-3.677635577056629,-0.003927277516801441,INFECTED
infectedTHAI.3,-3.742490820599897,-3.582122081388096,-0.28080578396962375,INFECTED
UNinfectedTHAI,-2.6758563320497277,1.8672781521471857,9.972802825618459,UNINFECTED
UNinfectedTHAI.1,-2.5191099842319717,1.6756143896186555,10.962742384218492,UNINFECTED
UNinfectedTHAI.2,-2.023598760417405,-2.8672533998068537,4.68110702218572,UNINFECTED
UNinfectedTHAI.3,-2.433232393405672,-2.75941064580905,4.802275459091158,UNINFECTED
Raffbudlag,32.62538667533486,-14.160219494921257,-2.7715244320072334,BUD
Raffbudlag.1,32.47002104931303,-14.287783130610677,-1.3786481348381145,BUD
Raffbudlag.2,19.115044563373118,-6.583974339446173,-2.0394225982517593,BUD
Raffbudlag.3,20.36930221633247,-7.576580126382805,-2.03251585873816,BUD
infectedCAM,-9.423432884610001,-1.9868364812348132,-3.151112770845711,INFECTED
infectedCAM.1,-9.493387445133465,-2.242249487341156,-3.5567263735312125,INFECTED
infectedCAM.2,-9.345163341680212,-1.579360617376533,-2.754139199831917,INFECTED
infectedCAM.3,-9.607936741752019,-1.3263762176945026,-2.780931696878492,INFECTED
UNinfectedCAM,-6.633235448442597,-1.5976917256209018,0.6036142793035753,UNINFECTED
UNinfectedCAM.1,-6.354931547834613,-1.6078127625292964,0.26324711260242584,UNINFECTED
UNinfectedCAM.2,-4.183506698206001,-1.4664648796904483,2.485612572409274,UNINFECTED
UNinfectedCAM.3,-4.466021956146922,-1.377178354221053,2.498162007069169,UNINFECTED
NonhostCAM,-6.502247487183728,-0.4569420734203945,38.99235395473472,nonhostTET
NonhostCAM.1,-6.652047983040956,-0.7899802025714686,40.125490259937436,nonhostTET
NonhostCAM.2,-9.61278790391626,-1.6557079766491258,55.278896043600774,nonhostTET
NonhostCAM.3,-9.385016024322663,-1.3135730430177741,53.9664301995902,nonhostTET
raffseed,19.073995658953024,63.95076132537665,0.10691013927351146,RAFFSEED
raffseed.1,19.38757699203869,66.12953627072405,-0.030702761791622738,RAFFSEED
raffseed.2,12.55335055667087,46.30838554871198,0.015414475793482069,RAFFSEED
raffseed.3,13.417966076827852,49.029719786326034,0.011181956318143397,RAFFSEED
Raffbudspec,1.5034758885460857,-2.223471842982585,0.7736418113540189,BUD
Raffbudspec.1,1.4782011292973487,-1.9318752867728535,0.9074660525721591,BUD
Raffbudspec.2,14.910510960626555,-6.625832816440275,-0.3212024065024996,BUD
Raffbudspec.3,15.496470246034006,-6.408242423406357,0.15273960103148138,BUD
Raffbudspec.4,24.865599482452335,-7.367960775596392,-4.709506873588719,BUD
Raffbudspec.5,24.74487822132953,-7.66900423562099,-4.474108466303221,BUD
Raffbudspec.6,21.052193175977564,-7.599753418365256,-3.491213680696511,BUD
Raffbudspec.7,21.09142788960227,-7.624831841903244,-3.5551156613838955,BUD
Raffbudspec.8,19.553680312581633,-2.963199364759993,-4.759166392987718,BUD
Raffbudspec.9,20.13636331972536,-3.541540348611626,-5.1588097219858815,BUD
Raffbudspec.10,6.746893196820154,-1.3752894141004635,-3.131532073274049,BUD
Raffbudspec.11,7.282441008024118,-1.3508534837536648,-2.984282231281709,BUD
Raffbudspec.12,0.99291773454329,-2.4080108888153093,-4.9617420320768275,BUD
Raffbudspec.13,0.8345347925474925,-2.4313536645307496,-4.736558159160083,BUD
Raffbudspec.14,22.688600766897885,-6.4754405078081225,-4.514819297207984,BUD
Raffbudspec.15,22.817292864464875,-6.386396860528084,-4.705965331255047,BUD
infectedILO,0.13706708050662533,-1.4911420729649334,1.938788634303112,INFECTED
infectedILO.1,-0.1346765593946701,-0.6797338387509166,1.7980265386353416,INFECTED
infectedILO.2,-6.806257025975349,-2.031003633376852,-2.0717809923670556,INFECTED
infectedILO.3,-7.4388119683801115,-2.1363171088712494,-2.3462609356594957,INFECTED
infectedILO.4,-6.403169938974831,-0.5823459570927165,-4.319811801992555,INFECTED
infectedILO.5,-6.931891184701137,-0.5896838536901358,-4.612465600500186,INFECTED
infectedILO.6,-0.4016112433453308,0.7422247366244636,-2.446195770021622,INFECTED
infectedILO.7,-0.5380799008664715,0.3646334476969505,-2.286873540346652,INFECTED
infectedILO.8,-2.0352496250180736,0.8443142863567109,-3.0755106817482196,INFECTED
infectedILO.9,-1.5837412258175037,1.029837974592339,-2.9798134644866625,INFECTED
infectedILO.10,-11.339170318131615,-1.3136078809157197,-8.05009083800461,INFECTED
infectedILO.11,-11.381145249034448,-1.4896443104964465,-7.598558062563843,INFECTED
