Feature_Label,RT,m/z,CAM_log2FC_recomputed,CAM_p_recomputed,ILO_log2FC_recomputed,ILO_p_recomputed,CAM_FDR_BH,ILO_FDR_BH
2.51 min | 2-Hydroxyadipic acid,2.51,161.04508,2.6022944167662785,0.0685703743254746,2.1217753039135268,0.0008667382675548,0.21327857419702795,0.033249042985921635
2.51 min | Keto-3-deoxy-D-manno-octulosonic acid,2.51,237.06068,1.076001921208242,0.2137022289868805,-2.0881847617664397,0.00307318177992,0.37982690495222077,0.06241270644219882
2.52 min | Citric acid,2.52,191.01877,-1.3300630656590853,0.0125590917083668,0.1524115237123256,0.8076563869165153,0.06828388050887618,0.8720668259043844
2.52 min | D-Glucuronic acid,2.52,193.03526,3.2492652828723205,0.0548511546210127,-0.5811617009685466,0.3711476548242827,0.1922574734305039,0.5074801102102321
2.52 min | Glutaconic acid,2.52,129.01903,0.189383448027985,0.2544220540807818,-0.2090952342428267,0.6203604699694434,0.4225422026074389,0.7368822742666463
2.52 min | Citric acid,2.52,226.99632,1.3238479871451931,0.1376999325780095,0.9715320352895432,0.2968635626449804,0.3146627237321553,0.4455821764907924
2.52 min | Tartaric acid,2.52,149.00837,6.869446792139457,0.0123574482521124,-2.0623085548104982,0.0060764054754475,0.06745310686232105,0.07902035653459825
2.52 min | Nb-trans-Feruloylserotonin glucoside,2.52,549.1656,0.5635548325262724,0.6622783696022969,-1.6303207426802706,0.1286585723513719,0.7478384533285136,0.27632579847160904
2.53 min | cis-Aconitic acid.mol,2.53,173.00891,0.5113276423285263,0.0746125575307452,0.0573642242076201,0.8716537579591512,0.21830496175838796,0.923124110231279
2.53 min | Galactonic acid,2.53,195.04994,2.146197854734084,0.1071041483951418,-1.7425411400767166,0.015420797733192,0.26916681341003645,0.11940840313697407
2.53 min | Ureidopropionic acid,2.53,131.04581,3.343464076125523,0.2163011236270274,0.9744370638938866,0.0557713288227626,0.38151350847078547,0.1801289361917589
2.54 min | Arabinonic acid,2.54,165.03968,-2.092693977020589,0.0177726086053334,-0.7577637811235741,0.0616617395525661,0.08672781796454214,0.18754134906561667
"2.54 min | 2,3,4,5,6,7-Hexahydroxyheptanoic acid",2.54,225.06052,2.7165510728097013,0.0845937283866452,1.0374961538294285,0.0522745058845256,0.23225435169375153,0.1737912027768692
2.55 min | L-Glutamic acid,2.55,146.04506,-2.326754235993709,0.0538828468775051,-0.2365352131133119,0.710889694081982,0.19031256147783773,0.8033867983037783
2.57 min | Ascorbalamic acid,2.57,262.05572,-1.7957581443756876,0.0006057810445733,-0.0710516902672863,0.8928711166074146,0.010051105115999347,0.9341325848748785
2.58 min | L-2-Amino-4-methylenepentanedioic acid,2.58,158.04533,-1.1873680089348515,0.0058254610351345,-0.4068660261099258,0.2954825035358677,0.03922684544606731,0.4449960058702653
"2.59 min | 4',5,6-Trimethylscutellarein 7-glucoside",2.59,525.11575,-8.396604781181859,0.0741576988783963,-1.074662474761666,0.3288299430213734,0.21775030557936803,0.4724309723039861
2.71 min | 3-Hydroxy-3-carboxymethyl-adipic acid,2.71,219.05071,-0.2485856617208467,0.7705608377503766,0.5446216915258502,0.2037944629209807,0.830181672506246,0.35455018339277433
2.71 min | L-Malic acid.mol,2.71,133.01382,-0.1677913481564951,0.7593275613885424,-1.9836512254454235,9.070385967253834e-05,0.8224559704137858,0.009859906558235201
2.74 min | Shikimic acid,2.74,173.04519,0.51279804127684,0.0270407854241893,1.4740939126520944,0.2185491645893657,0.11591551565674206,0.3667270914919976
2.76 min | Caftaric acid,2.76,347.01888,-2.8534344398000355,0.1354333649242904,-0.978493788089664,0.1773739935594044,0.31172246160074174,0.32660464680738327
2.78 min | Nb-trans-Feruloylserotonin glucoside,2.78,549.16573,,0.1823167430632729,-0.2423303080569801,0.7819388507222035,0.35844457727148515,0.8509515782879141
