Compound,averaffseed,aveRaffbudspec,aveinfectedILO,aveUNinfectedILO,aveuninfecraffspec-stemleaf,avenonhostILO
(-)-Catechin gallate,0.024399143294933142,0.47989081924600285,0.001460580414751662,0.0,0.0,0.0002530599863576688
12-Hydroxyoctadecanoic acid,0.36195603936920884,0.00029152192652308773,0.0009302693410881538,0.0015612210338560293,0.005914097256648506,0.0
Procyanidin B2,0.0005498048410030401,0.0023449427406847475,0.14967008353747432,0.3339270156422178,0.297709744095885,0.626966498994443
Citric acid,0.0055822780196766834,0.14076166270717058,0.3498051998381003,0.09111598707058835,0.10116246085512975,0.07679696253743691
EPICATECHIN,0.00969261901101541,0.021510622954950032,0.22489715100029456,0.27784040735037097,0.24892135277010455,0.23157819298952806
3-Oxooctadecanoic acid,0.14128582226935305,0.0007046469910349254,0.0012673450651139759,0.0014595785680593361,0.0018274235244604387,0.0002001571823063424
ellagic acid,0.01243819432839264,0.11301796324591332,0.0030546747844040706,0.0,0.0,3.778183124226348e-05
2-Hydroxyhexadecanoic acid,0.07247663204827906,0.009387746765735394,0.048564071837296045,0.03293061120115165,0.02966647619656766,0.005767754992710373
Oleic acid,0.07831287316493772,0.0023257237562444417,0.0046292510859383225,0.006495903916938408,0.008256003675280415,0.006292364165829163
Linoleic acid,0.04222329964509908,0.009516079192399537,0.07405462708968986,0.04423038423820186,0.05245305564135814,0.02007430685007426
Hamamelitannin,0.0005278200272936702,0.08002320322194187,0.00013405702391199753,6.885982900990579e-05,5.639203149486117e-05,3.924448665022461e-06
3-(4-Hydroxy-3-methoxyphenyl)propionic acid,0.07094699380137033,0.0,0.00029445695418590614,0.00014072458220899255,6.324693534424898e-05,9.064343373280225e-07
4-Hydroxybenzoic acid,0.029384552195226156,0.0007760848526825685,0.045116001549344344,0.10449454916315942,0.09368193131273529,0.005484010143956111
"3,3'-Digalloylprocyanidin B2",0.003015390505613899,0.06488031746357675,0.0005991160431230198,0.00012436041674501915,0.00011045559511903108,0.00020374171809486687
Ethyl (S)-3-hydroxybutyrate glucoside,0.03638218777414429,0.02850571255227154,0.002510924775921467,0.00150199144381386,0.0024588268845470245,0.002571760222803538
"cis-9,10-Epoxystearic acid",0.05521521509774701,0.0005626262002891001,0.0014747920751007426,0.0022858180743821027,0.002303767738391013,9.025888583211762e-05
Palmitic acid,0.04051320733144933,0.001792827552064127,0.0149731944787038,0.008284141542701174,0.00865763065964011,0.0023780922863212484
Epicatechin 3-O-gallate-(4beta->6)-epicatechin 3-O-gallate-(4beta->6)-epicatechin 3-O-gallate,0.0009809167797400385,0.0395389205474567,0.00019499910867970107,2.118652572902044e-05,6.726280928261737e-05,1.9826191051011108e-05
alpha-Linolenic acid,0.010884836984047892,0.0026314823872399177,0.04038245956974536,0.02295667950378928,0.0811223075710528,0.012363063934620836
"(Z)-5,8,11-trihydroxyoctadec-9-enoic acid",0.0032321735114687177,0.0015370956958185346,0.035986744427132386,0.07056057989707633,0.06556756444695896,0.008917336204389933
