Compound,averaffseed,aveRaffbudspec,aveinfectedILO,aveUNinfectedILO,aveuninfecraffspec-stemleaf,avenonhostILO
(-)-Catechin gallate,413268.5,7940340.5,2502.722222,0.0,0.0,1535.5
12-Hydroxyoctadecanoic acid,6130749.25,4823.5625,1594.0277775,4312.3,15512.984614,0.0
Procyanidin B2,9312.5,38799.75,256461.5,922350.8,780908.1385,3804264.25
Citric acid,94551.66666666667,2329062.125,599395.4445533333,251674.46666666667,265354.39487333334,465983.3333333333
EPICATECHIN,164171.91666666666,355917.7708333333,385363.99077255,767432.1333333333,652933.6512479001,1405154.25
3-Oxooctadecanoic acid,2393075.0,11659.1875,2171.61111115,4031.55,4793.4269235,1214.5
ellagic acid,210676.0,1870011.0,5234.222222,0.0,0.0,229.25
2-Hydroxyhexadecanoic acid,1227596.75,155330.96875,83215.12499445,90958.72499999999,77816.70960375,34997.1875
Oleic acid,1326450.0,38481.75,7932.277776,17942.55,21655.926919999998,38180.375
Linoleic acid,715171.0,157454.375,126893.5,122170.2,137587.0923,121805.5
Hamamelitannin,8940.125,1324075.09375,229.708333325,190.2,147.919230775,23.8125
3-(4-Hydroxy-3-methoxyphenyl)propionic acid,1201688.0,0.0,504.5555556,388.7,165.9,5.5
4-Hydroxybenzoic acid,497710.5,12841.208333333334,77306.8148148,288627.8333333333,245732.57692549998,33275.5
"3,3'-Digalloylprocyanidin B2",51074.166666666664,1073518.7916666667,1026.5925926,343.5,289.730769254,1236.25
Ethyl (S)-3-hydroxybutyrate glucoside,616235.25,471659.5,4302.5,4148.7,6449.6307675,15604.75
"cis-9,10-Epoxystearic acid",935225.8333333334,9309.291666666666,2527.07407405,6313.733333333334,6042.902564666667,547.6666666666666
Palmitic acid,686205.75,29664.375,25656.75,22881.899999999998,22709.415383,14429.625
Epicatechin 3-O-gallate-(4beta->6)-epicatechin 3-O-gallate-(4beta->6)-epicatechin 3-O-gallate,16614.6,654216.5,334.13333332,58.52,176.43384615,120.3
alpha-Linolenic acid,184365.5,43540.875,69195.83333,63409.4,212788.0308,75015.75
"(Z)-5,8,11-trihydroxyoctadec-9-enoic acid",54746.0,25433.0,61663.72222,194897.7,171987.1308,54108.0
