Metabolite,Infected ILO,Uninfected ILO,Aerial stem/leaf,Nonhost ILO
Cinnamtannin III,-1.5910540922819156,0.454175414264704,0.013450598471749,1.123428079545462
Cinnamtannin II,-1.3616114323469446,0.2072680156294117,-0.2704130706278532,1.4247564873453864
Procyanidin B2,-1.2242396202944408,0.0468417565793972,-0.3615406003661977,1.538938464081241
Cinnamtannin A2,-1.087978660153519,-0.1083263030323265,-0.4238541388969733,1.6201591020828192
Procyanidin trimer C1,-1.2373549052493844,-0.0266464571027964,-0.2816166026920154,1.5456179650441966
"3,4-Dimethoxyphenyl ?-D-glucoside",-1.0278590020428426,-0.2287496110315025,-0.3967924899035622,1.653401102977907
2-Methylcitric acid,-0.641398634414709,-0.5343159497527276,-0.554937935833073,1.7306525200005096
2-trans-O-Feruloylglucaric acid,-0.6312395486930288,-0.5509106819383596,-0.5489456013384175,1.7310958319698062
Procyanidin C1,-0.8881795131078783,-0.3568388352874863,-0.4519134275297666,1.6969317759251317
Gibberellin A105,-0.8651363413848778,-0.359541028718078,-0.4767783952163846,1.7014557653193407
Oleanolic acid,-0.833578785632285,-0.3903784516324913,-0.4843140916686542,1.7082713289334306
Ferulic acid,-0.3004297981954126,-0.7200166037381552,-0.687829927464517,1.708276329398085
5-Hydroxy-6-methoxycoumarin 7-glucoside,-0.6293890582650579,-0.57047896820256,-0.5311233504098567,1.7309913768774745
Caffeic acid 3-O-glucuronide,-0.6239567049437753,-0.5497400167841292,-0.5576344802054272,1.7313312019333316
Galactaric acid,-0.617982985610616,-0.5530514351660039,-0.5604693367043675,1.7315037574809875
3'-O-methyl-(-)-epicatechin,-0.5810567121701828,-0.5746648931993633,-0.5763244387750114,1.7320460441445575
Isolimonic acid,-0.5776621837542778,-0.5772838058604679,-0.5771047828862522,1.732050772500998
Phenethyl 6-galloylglucoside,-1.0003419274009095,-0.9578239543928968,0.6921312983120171,1.2660345834817897
alpha-Linolenic acid,-1.0240926577674838,-0.6097648395780066,1.6058127413817826,0.0280447559637082
Apigenin 7-O-Glucoside,-0.5684145250828413,-0.5789844936044961,1.7320214917384735,-0.584622473051136
trans-o-Coumaric acid 2-glucoside,-0.7431059178251744,-0.5013666847515736,1.7227064310584532,-0.478233828481705
isovitexin,-0.5803289048109668,-0.5756095267437138,1.7320478972783535,-0.576109465723673
5-O-Feruloylquinic acid,-0.2833413537913921,-0.463173054739716,1.6821778507377658,-0.9356634422066582
Kaempferol 3-rungioside,-0.2694678477540721,-0.4568563362124524,1.677486244729076,-0.9511620607625518
Phloretin-2'-O-glucoside,-0.2566546559565613,-0.2500226628685688,1.6214132375920622,-1.114735918766932
naringenin-7-O-glucoside,0.3394518929882137,-0.6345608928650317,1.458767721479609,-1.1636587216027914
2-Hydroxyhexadecanoic acid,0.5079821942852712,0.8948430593174406,0.2878423058140351,-1.6906675594167484
trans-Ferulic acid,1.072993236115243,0.4572295514118648,0.0918704505111732,-1.6220932380382818
Daucic acid,1.2241228841709149,-0.3714206353418697,0.5736537039518878,-1.4263559527809329
L-Malic acid,1.2355662175522022,0.3270368258532094,-0.024479580639394,-1.5381234627660163
Citric acid,1.413887440058644,-0.9924917180337728,-0.8915412054053856,0.4701454833805137
eriodictyol-7-O-glucoside,1.605732578761693,-0.184268189881526,-0.2763431894722572,-1.1451211994079096
(-)-epicatechin-3'-O-glucuronide,1.6617920784740303,-0.2529395727637473,-0.402734382706159,-1.0061181230041247
